date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,dataset,price
20150302T000000,3,1.0,820,5200,1.0,0,0,4,6,820,0,1977,0,98042,47.363,-122.094,train,12.301382825334498
20140722T000000,4,2.5,3550,35689,2.0,0,0,4,9,3550,0,1991,0,98077,47.7503,-122.074,train,13.500799813124575
20150428T000000,3,2.25,1560,9706,1.0,0,0,4,7,1560,0,1963,0,98002,47.3191,-122.213,train,12.570715759118084
20141104T000000,3,2.5,2420,36862,1.0,0,0,4,8,1530,890,1957,0,98003,47.3264,-122.308,train,13.071070083016778
20150127T000000,3,1.5,1970,3400,1.5,0,0,4,8,1420,550,1929,0,98122,47.6163,-122.292,train,13.102160670086809
20150102T000000,3,2.25,1920,8412,1.0,0,2,3,8,1460,460,1977,0,98006,47.5578,-122.132,train,13.345506928718539
20150408T000000,3,2.75,2130,1400,2.0,0,0,3,9,1080,1050,2010,0,98118,47.5661,-122.29,train,13.17115354157376
20140617T000000,3,1.5,1450,7375,1.0,0,0,3,7,1010,440,1968,0,98034,47.7212,-122.179,train,12.904207367601158
20141020T000000,3,2.25,1610,11920,1.0,0,0,4,7,1110,500,1968,0,98032,47.3683,-122.279,train,12.531772785169476
20141119T000000,3,2.5,2010,6857,1.0,0,0,4,9,1450,560,1955,0,98102,47.6402,-122.314,train,13.77468856344402
20150123T000000,4,3.25,1900,2631,2.0,0,0,3,9,1250,650,2014,0,98144,47.5869,-122.311,train,13.269057756555132
20140908T000000,1,1.0,720,5196,1.0,0,0,3,7,720,0,1911,0,98103,47.6928,-122.337,train,12.506177237980511
20150304T000000,4,2.5,2160,8158,1.0,0,0,4,8,1660,500,1952,0,98115,47.6948,-122.328,train,13.279367126213993
20140818T000000,5,1.75,1770,15525,1.0,0,0,4,7,1770,0,1959,0,98059,47.5025,-122.142,train,12.206072645530174
20150217T000000,4,2.5,3362,8601,2.0,0,0,3,8,3362,0,2004,0,98003,47.2592,-122.304,train,12.92513120787462
20140604T000000,5,2.5,2730,17240,1.0,0,0,5,7,1660,1070,1958,0,98028,47.7646,-122.267,train,13.208541073645382
20150106T000000,3,2.0,1350,8960,1.0,0,0,4,7,1350,0,1986,0,98038,47.3614,-122.045,train,12.377922902456833
20140811T000000,3,2.0,1700,8160,1.0,0,0,3,7,1120,580,1961,0,98133,47.74,-122.339,train,12.72039215855042
20150102T000000,3,1.75,1320,10416,1.0,0,0,3,7,1320,0,1996,0,98031,47.3902,-122.208,train,12.400816722322686
20150317T000000,2,1.75,1930,4601,1.0,0,0,3,8,1930,0,2006,0,98053,47.7196,-122.022,train,13.232114241363448
20141124T000000,3,1.0,1730,7950,1.0,0,0,4,7,1180,550,1961,0,98198,47.3644,-122.312,train,12.283033686666302
20140721T000000,4,2.5,2154,4153,2.0,0,0,3,9,2154,0,2012,0,98058,47.4557,-122.13,train,12.873902018105829
20141218T000000,2,2.25,1550,1824,2.0,0,0,3,8,1550,0,2007,0,98106,47.5396,-122.368,train,12.761393509182716
20150407T000000,3,1.0,1400,5100,1.5,0,0,3,7,1400,0,1900,0,98103,47.6677,-122.333,train,13.695825715018294
20140603T000000,3,1.75,1250,6041,1.5,0,0,5,7,1250,0,1942,0,98115,47.69,-122.304,train,13.180632285528304
20140603T000000,3,2.0,1440,5600,1.0,0,0,4,6,720,720,1942,2007,98056,47.4947,-122.185,train,12.345834587905333
20150323T000000,4,2.5,3230,256132,2.0,0,0,3,9,3230,0,2006,0,98053,47.6544,-121.998,train,13.681979165339751
20150504T000000,3,1.5,1360,1795,2.0,0,0,3,7,1360,0,1945,0,98199,47.6471,-122.397,train,12.936033799212835
20150212T000000,3,1.75,1910,12321,1.0,0,0,4,7,1100,810,1952,0,98004,47.5995,-122.198,train,13.522480879185897
20141118T000000,4,2.5,2660,8469,2.0,0,0,3,10,2660,0,1994,0,98006,47.5529,-122.12,train,13.529566973466213
20141009T000000,3,2.5,1820,7500,2.0,0,0,3,8,1820,0,1985,0,98052,47.7155,-122.104,train,12.957488734214095
20150116T000000,3,1.75,1390,9328,1.0,0,0,4,7,1390,0,1987,0,98092,47.2766,-122.146,train,12.294541293517781
20150506T000000,3,2.5,1610,6732,2.0,0,0,3,7,1610,0,1994,0,98030,47.3658,-122.172,train,12.254862809699606
20140508T000000,4,1.75,2060,26036,1.0,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351,train,13.38087407255583
20140623T000000,3,2.0,1340,8505,1.0,0,0,3,6,1340,0,1931,0,98168,47.4727,-122.297,train,12.2783933071098
20150127T000000,3,2.0,1350,6696,1.0,0,0,5,6,680,670,1944,0,98056,47.4919,-122.187,train,12.506177237980511
20150303T000000,3,2.25,1490,4539,2.0,0,0,3,7,1490,0,2009,0,98028,47.7607,-122.233,train,12.873902018105829
20140722T000000,2,1.0,1000,4179,1.0,0,0,5,5,1000,0,1914,0,98002,47.297,-122.227,train,12.154252896800378
20141215T000000,4,2.5,3020,4950,1.5,0,0,4,9,2020,1000,1921,0,98112,47.6467,-122.304,train,13.790192749979985
20150209T000000,3,1.75,1270,7350,1.0,0,0,4,7,1270,0,1967,0,98005,47.6046,-122.168,train,13.303651066607985
20150507T000000,3,2.5,2400,7745,2.0,0,0,3,9,2400,0,2001,0,98033,47.6734,-122.173,train,13.527828485512494
20141214T000000,3,1.0,1040,7490,1.0,0,0,3,7,1040,0,1969,0,98034,47.7137,-122.213,train,12.736371430559664
20140710T000000,2,1.0,670,6300,1.0,0,0,5,6,670,0,1942,0,98126,47.5161,-122.374,train,12.538967060803502
20141121T000000,4,1.75,1520,15398,1.0,0,0,4,7,1370,150,1960,0,98027,47.5265,-122.05,train,13.186745636333598
20140627T000000,2,1.5,1200,1687,3.0,0,0,3,8,1200,0,2008,0,98103,47.6491,-122.334,train,13.130728293735956
20141024T000000,7,3.75,5100,21802,2.0,0,0,3,10,3640,1460,2001,0,98075,47.595,-122.04,train,13.74937075545973
20150424T000000,2,1.0,1060,5754,1.0,0,0,4,6,1060,0,1917,0,98117,47.6931,-122.372,train,12.887526727499074
20141216T000000,4,2.5,2242,37451,2.0,0,0,3,8,2242,0,1995,0,98028,47.7443,-122.228,train,13.102160670086809
20150409T000000,3,1.5,1340,25160,1.0,0,0,3,7,1340,0,1968,0,98059,47.475,-122.111,train,12.576155796357995
20150223T000000,3,1.75,1520,9600,1.0,0,0,4,7,1520,0,1967,0,98059,47.473,-122.149,train,12.660169175050076
20140522T000000,4,1.5,1740,7292,1.0,0,0,3,7,1020,720,1962,0,98168,47.4787,-122.302,train,12.100712129872347
20150504T000000,3,1.0,1480,10094,1.0,0,0,4,7,1480,0,1956,0,98007,47.5942,-122.136,train,13.079455876393052
20150422T000000,3,1.0,1160,10881,1.0,0,0,2,7,920,240,1983,0,98074,47.6339,-122.033,train,12.542544882151386
20141022T000000,4,2.25,2220,36085,2.0,0,0,3,9,2220,0,1989,0,98075,47.5839,-121.991,train,13.345506928718539
20141001T000000,4,2.5,3230,4290,2.0,0,0,3,9,3230,0,2004,0,98033,47.6874,-122.161,train,13.557387287754038
20140528T000000,2,2.0,1700,3171,1.0,0,0,5,5,850,850,1927,0,98002,47.3025,-122.224,train,12.14950229404178
20141016T000000,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,1977,0,98008,47.5845,-122.115,train,13.652991628466498
20140708T000000,3,1.0,1400,8100,1.5,0,0,3,6,1400,0,1944,0,98125,47.7124,-122.289,train,12.495003937382387
20140725T000000,4,2.5,2610,5866,2.0,0,0,3,8,2610,0,2005,0,98038,47.3441,-122.04,train,12.765688433465597
20140520T000000,3,1.5,1490,9630,1.0,0,0,4,8,1490,0,1959,0,98028,47.7623,-122.256,train,12.86099861326992
20150512T000000,3,1.75,1720,3825,1.5,0,0,3,7,1720,0,1925,0,98105,47.666,-122.327,train,13.071070083016778
20150113T000000,2,1.75,1270,1685,2.0,0,0,3,8,1270,0,2012,0,98108,47.5646,-122.295,train,12.721885810807203
20140623T000000,3,1.75,1390,18200,1.0,0,0,4,7,1390,0,1962,0,98023,47.3208,-122.337,train,12.473615784141067
20140623T000000,3,2.25,1630,3817,2.0,0,0,3,7,1630,0,2005,0,98029,47.5485,-121.999,train,13.116345305078767
20140707T000000,3,1.0,1230,6000,1.0,0,0,4,7,1230,0,1967,0,98002,47.3256,-122.209,train,12.343658308482738
20140911T000000,3,4.25,5510,35000,2.0,0,4,3,13,4910,600,1997,0,98177,47.7296,-122.37,train,15.150511624696614
20140708T000000,2,1.0,630,4200,1.0,0,0,3,6,630,0,1930,0,98106,47.5329,-122.348,train,11.904967552746252
20141022T000000,3,1.75,1470,6682,1.0,0,0,3,7,1470,0,1987,0,98034,47.7315,-122.226,train,12.89921982609012
20141001T000000,3,1.75,1660,4800,2.0,0,0,3,7,1660,0,1906,2014,98112,47.6296,-122.308,train,13.345506928718539
20150316T000000,3,1.0,1220,71191,1.0,0,0,3,6,1220,0,1952,0,98023,47.3261,-122.353,train,12.314927050442256
20150325T000000,3,2.5,2170,5000,2.0,0,0,3,9,2170,0,2003,0,98029,47.5453,-121.996,train,13.366093562326927
20150316T000000,2,1.0,960,2700,1.0,0,0,3,6,780,180,1904,0,98144,47.6013,-122.299,train,12.751299696013497
20150220T000000,4,1.0,1540,8400,1.0,0,0,3,7,770,770,1971,0,98058,47.4278,-122.152,train,12.537173338349476
20150128T000000,4,2.75,2830,10240,2.0,0,0,4,9,2830,0,1998,0,98075,47.5903,-121.986,train,13.559327152571864
20150402T000000,4,2.0,2360,7080,1.0,0,0,5,6,1180,1180,1925,0,98126,47.5261,-122.376,train,13.036805489042683
20150410T000000,4,3.25,2610,2552,2.0,0,0,3,10,2160,450,2008,0,98027,47.5322,-122.076,train,13.493926933836812
20150126T000000,4,2.5,2490,9346,2.0,0,2,3,9,2490,0,1996,0,98042,47.3831,-122.147,train,12.807378622424539
20150428T000000,3,2.5,1940,4000,2.0,0,0,4,9,1940,0,2000,0,98199,47.659,-122.398,train,13.601078947252086
20150408T000000,2,1.0,930,2600,1.0,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161,train,12.546109948315882
20150115T000000,1,1.75,1020,4512,1.0,0,0,3,7,770,250,1937,0,98115,47.6724,-122.266,train,12.984250075274694
20140923T000000,4,1.75,1650,7276,1.0,0,0,3,7,1010,640,1977,0,98011,47.7721,-122.206,train,12.468436909997665
20141217T000000,4,2.5,2730,4847,2.0,0,0,3,9,2730,0,2008,0,98126,47.549,-122.374,train,13.383187995686226
20150421T000000,4,2.25,2240,9684,2.0,0,0,4,9,2240,0,1970,0,98040,47.5489,-122.225,train,13.7525707581904
20150424T000000,4,2.5,3430,35120,2.0,0,0,3,10,3430,0,1984,0,98033,47.6484,-122.182,train,14.006957022535229
20150326T000000,3,1.0,2160,11484,1.5,0,0,4,7,2160,0,1968,0,98034,47.7277,-122.185,train,13.023647404465171
20140716T000000,2,1.0,930,7740,1.0,0,0,1,5,930,0,1932,0,98148,47.4611,-122.324,train,11.566466231898259
20140603T000000,3,1.5,1180,9048,1.0,0,0,3,7,1180,0,1960,0,98148,47.4327,-122.328,train,12.170445467887022
20140702T000000,3,3.5,4660,5500,2.0,0,4,5,10,3040,1620,1909,0,98102,47.6465,-122.319,train,14.579814932840547
20140814T000000,5,4.0,2710,2800,3.0,0,0,3,10,2380,330,1974,2008,98119,47.6346,-122.364,train,13.997832114758229
20140825T000000,3,1.5,1190,8726,1.0,0,0,3,7,1190,0,1956,0,98146,47.4887,-122.343,train,12.180754837545884
20141226T000000,5,3.5,4890,12039,2.0,0,0,3,9,3590,1300,2014,0,98011,47.7338,-122.208,train,13.671582449157189
20140818T000000,3,2.25,1740,9682,1.0,0,0,5,8,1740,0,1969,0,98056,47.5138,-122.173,train,12.959844447906553
20150126T000000,3,2.5,2710,13120,1.0,0,0,3,10,2710,0,1959,0,98105,47.6718,-122.256,train,14.038654109278484
20150409T000000,4,2.0,1700,12048,2.0,0,0,3,7,1700,0,1990,0,98030,47.3748,-122.186,train,12.533576212168626
20140819T000000,3,2.25,1890,7498,1.0,0,0,3,7,1190,700,1987,0,98125,47.73,-122.297,train,12.956308793074246
20141222T000000,3,2.5,1870,1436,2.0,0,0,3,7,1870,0,2004,0,98059,47.4899,-122.166,train,12.577463773304586
20141014T000000,4,2.5,2520,5000,2.0,0,0,3,9,2520,0,2004,0,98029,47.5524,-121.992,train,13.42984807715229
20141231T000000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,train,13.304684934198283
20150119T000000,5,1.75,2190,8250,1.0,0,2,3,7,1190,1000,1963,0,98055,47.4887,-122.223,train,12.429216196844383
20150506T000000,4,2.0,1720,5413,2.0,0,0,3,7,1470,250,1938,1980,98115,47.6929,-122.321,train,13.112313041550827
20140728T000000,3,3.0,2260,1834,2.0,0,0,3,8,1660,600,2002,0,98122,47.6111,-122.308,train,13.386264921190707
20150113T000000,3,1.75,1540,6930,1.0,0,0,3,7,1250,290,1944,0,98115,47.6782,-122.278,train,13.353475098367715
20140804T000000,3,2.25,1650,946,3.0,0,0,3,8,1650,0,2014,0,98103,47.6536,-122.354,train,13.335860551666734
20150316T000000,3,1.75,1440,8957,1.0,0,0,4,7,1440,0,1957,0,98008,47.6008,-122.118,train,13.217673557208654
20150320T000000,4,2.25,2420,36680,2.0,0,0,4,8,2420,0,1977,0,98027,47.4663,-122.006,train,13.122363377404328
20140708T000000,4,2.25,2890,18226,3.0,1,4,3,10,2890,0,1984,0,98056,47.5169,-122.209,train,14.266586177324491
20140701T000000,3,1.75,2050,9580,1.0,0,0,3,8,1400,650,1984,0,98074,47.6212,-122.038,train,13.199324418540456
20140814T000000,3,2.5,2770,9350,2.0,0,3,3,8,2770,0,1957,2000,98056,47.5253,-122.201,train,13.428376406540833
20140808T000000,2,1.0,720,6321,1.0,0,0,3,6,720,0,1940,0,98118,47.551,-122.289,train,12.367340793126296
20150303T000000,4,2.5,2800,6874,2.0,0,0,3,9,2170,630,1990,0,98112,47.6215,-122.29,train,13.691080479586097
20140722T000000,2,2.0,1380,5840,1.0,0,0,3,7,1380,0,1988,0,98011,47.7732,-122.172,train,12.721885810807203
20141202T000000,6,2.0,3080,5500,2.0,0,0,1,7,3080,0,1900,0,98122,47.6031,-122.296,train,12.977337605354071
20140516T000000,3,1.0,1000,18513,1.0,0,0,3,6,1000,0,1940,0,98146,47.5118,-122.348,train,12.100712129872347
20150430T000000,3,2.0,1930,10929,1.0,0,0,3,8,1260,670,1964,0,98155,47.7657,-122.272,train,13.253391639810733
20150507T000000,3,1.0,1540,9028,1.0,0,0,4,6,1540,0,1968,0,98033,47.6698,-122.177,train,13.017002861746503
20150303T000000,3,2.0,1330,35060,1.0,0,0,3,7,1330,0,1989,0,98092,47.3128,-122.13,train,12.46651198158808
20150223T000000,3,2.25,1480,1384,3.0,0,0,3,8,1480,0,2008,0,98103,47.691,-122.342,train,12.985397522331171
20141009T000000,4,2.25,2240,8300,2.0,0,0,3,8,2240,0,1978,0,98011,47.7746,-122.197,train,12.992254692057308
20150312T000000,4,2.5,2100,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23,train,12.821258284620408
20140604T000000,1,1.0,790,13062,1.0,0,0,3,6,790,0,1942,0,98168,47.4919,-122.311,train,11.813030057420567
20140813T000000,3,2.75,3040,24192,2.0,0,0,4,10,3040,0,1987,0,98034,47.7108,-122.225,train,13.623138665316818
20150420T000000,4,2.5,4500,35200,1.0,0,0,3,13,4500,0,1988,0,98006,47.5477,-122.126,train,14.665661487333884
20141223T000000,3,1.75,2092,250905,1.0,0,0,3,7,2092,0,1981,0,98022,47.2664,-122.027,train,12.873902018105829
20140603T000000,4,2.5,2870,12648,2.0,0,0,4,9,2870,0,1986,0,98029,47.5632,-122.017,train,13.487006490992238
20141107T000000,4,2.5,2790,10289,2.0,0,0,3,9,2790,0,1987,0,98006,47.5483,-122.158,train,13.797346587336603
20150407T000000,3,1.75,1350,2325,3.0,0,0,3,7,1350,0,1999,0,98103,47.6965,-122.35,train,12.86876061860541
20141107T000000,5,2.75,2720,193406,1.0,0,4,4,7,1700,1020,1968,0,98092,47.2838,-122.121,train,13.030248088496522
20140814T000000,4,3.5,3210,5000,3.0,0,0,3,9,3210,0,2014,0,98136,47.5203,-122.393,train,13.697852514496041
20150424T000000,2,1.0,1680,9250,1.0,0,0,3,7,860,820,1969,0,98072,47.7618,-122.162,train,12.637855061955712
20140603T000000,4,2.5,2790,45902,2.0,0,0,3,9,2790,0,1987,0,98077,47.7674,-122.086,train,13.392314175825796
20140627T000000,3,1.0,2710,19000,2.0,0,3,4,7,2710,0,1950,0,98166,47.4462,-122.359,train,12.92391243868049
20150331T000000,4,2.5,2180,9861,2.0,0,2,3,8,2180,0,1997,0,98045,47.4817,-121.802,train,13.081541382884074
20141007T000000,4,2.5,3202,4964,2.0,0,0,3,9,3202,0,2014,0,98030,47.3412,-122.179,train,13.041023161664482
20140710T000000,4,1.0,1170,8147,1.5,0,0,3,6,1170,0,1959,0,98125,47.7281,-122.289,train,12.765688433465597
20150506T000000,4,1.75,2350,7574,1.0,0,0,3,8,1720,630,1979,0,98027,47.5634,-122.087,train,13.493926933836812
20141021T000000,3,1.5,1410,9000,1.0,0,0,3,7,1410,0,1953,0,98133,47.7635,-122.35,train,12.524526376648708
20150121T000000,4,2.5,2547,4800,2.0,0,0,3,9,2547,0,2014,0,98092,47.2592,-122.194,train,12.880138938277327
20150115T000000,5,3.0,2200,103237,1.0,0,0,3,7,1160,1040,1971,0,98072,47.7726,-122.111,train,13.212204081404119
20141003T000000,4,2.5,3130,5795,2.0,0,0,3,9,3130,0,2008,0,98059,47.4997,-122.151,train,13.17115354157376
20150422T000000,4,2.5,2740,5000,2.0,0,0,3,9,2740,0,2012,0,98107,47.674,-122.371,train,13.883169206438088
20141106T000000,2,1.0,950,9000,1.0,0,0,3,6,950,0,1924,0,98106,47.5219,-122.361,train,12.170445467887022
20140507T000000,3,1.0,1400,7410,1.0,0,0,3,6,1400,0,1944,0,98166,47.4798,-122.343,train,12.4130868149145
20140602T000000,3,1.5,1840,9990,2.0,0,0,5,8,1840,0,1961,0,98177,47.7145,-122.369,train,13.438632906708023
20141014T000000,4,2.5,2350,3904,2.5,0,0,3,7,2350,0,1999,0,98106,47.5305,-122.351,train,12.89921982609012
20150414T000000,3,2.25,2300,8067,1.0,0,0,4,8,1300,1000,1979,0,98034,47.7091,-122.198,train,13.329377546788654
20141105T000000,3,2.25,1560,8280,2.0,0,0,4,7,1560,0,1979,0,98001,47.3393,-122.259,train,12.388185847286392
20140917T000000,3,1.75,1240,38095,1.0,0,0,3,7,1240,0,1978,0,98053,47.6522,-121.97,train,12.751299696013497
20150511T000000,3,1.75,1950,8325,1.0,0,0,4,7,1950,0,1962,0,98011,47.7685,-122.2,train,13.142166004700508
20150122T000000,2,1.0,920,5120,1.0,0,0,5,7,920,0,1952,0,98136,47.5569,-122.394,train,12.89921982609012
20150413T000000,3,2.0,1420,1716,2.0,0,0,3,7,1050,370,2003,0,98155,47.7364,-122.295,train,12.676076274775909
20140929T000000,4,2.25,2460,14600,1.0,0,0,4,8,1720,740,1977,0,98042,47.3762,-122.16,train,12.994416363073707
20140729T000000,3,2.0,1810,10530,1.0,0,2,3,8,1810,0,1991,0,98022,47.1913,-122.012,train,12.594730635321957
20141022T000000,4,3.25,3070,10375,2.0,0,0,3,10,2180,890,1962,2005,98004,47.5862,-122.198,train,14.217636764806924
20140828T000000,3,1.75,1410,4080,1.5,0,0,4,7,1410,0,1927,0,98105,47.6695,-122.32,train,13.201174557828619
