date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
20150309T000000,2,1.0,690,6000,1.0,0,0,3,6,690,0,1949,0,98118,47.5621,-122.283
20141215T000000,3,3.5,2600,11920,2.0,0,0,5,8,2600,0,1969,0,98004,47.582,-122.194
20140827T000000,3,3.0,1850,9600,1.0,0,0,3,7,1230,620,1981,0,98028,47.7717,-122.25
20140801T000000,3,2.25,1130,1221,2.0,0,0,3,8,1030,100,2004,0,98117,47.6799,-122.375
20140828T000000,4,3.75,3610,7904,3.0,0,0,3,11,3290,320,1994,0,98117,47.6992,-122.385
20141210T000000,4,1.5,1400,8500,2.0,0,0,3,7,1400,0,1975,0,98001,47.3314,-122.275
20140721T000000,3,2.5,2870,5490,2.0,0,0,3,9,2870,0,2008,0,98055,47.4471,-122.207
20140617T000000,3,2.5,2590,7720,2.0,0,0,3,9,2590,0,1988,0,98007,47.659,-122.146
20140902T000000,3,1.0,1750,5355,2.0,0,0,4,7,1750,0,1929,0,98115,47.6792,-122.31
20150415T000000,5,2.75,2400,7904,1.0,0,0,3,7,1450,950,1992,0,98188,47.4683,-122.263
20150422T000000,4,1.75,2320,5595,1.0,0,0,3,7,1510,810,1956,0,98199,47.6397,-122.388
20141002T000000,3,2.5,1790,4065,2.0,0,0,3,8,1790,0,2009,0,98019,47.7344,-121.965
20140912T000000,3,1.75,1400,2003,1.0,0,0,4,8,700,700,1908,2006,98119,47.6508,-122.368
20150420T000000,5,2.5,2020,8250,1.0,0,0,4,8,1430,590,1978,0,98058,47.4432,-122.135
20140521T000000,3,1.0,990,6750,1.0,0,0,4,6,990,0,1947,0,98133,47.7125,-122.331
20140721T000000,3,1.75,1330,7482,1.0,0,0,4,7,1330,0,1975,0,98034,47.7322,-122.207
20141111T000000,5,3.0,3520,36558,2.0,0,0,4,8,2100,1420,1985,0,98027,47.4658,-122.007
20141002T000000,4,2.5,3110,24466,2.0,0,0,3,9,3110,0,1997,0,98059,47.4898,-122.127
20141209T000000,5,3.5,5150,12230,2.0,0,2,3,10,3700,1450,2007,0,98008,47.6249,-122.09
20140722T000000,2,2.0,1340,4122,1.0,0,0,3,8,1340,0,2007,0,98053,47.7182,-122.022
20150424T000000,3,4.0,2080,2250,3.0,0,4,3,8,2080,0,1997,0,98103,47.6598,-122.355
20140715T000000,3,2.0,1130,9879,2.0,0,0,3,6,1130,0,1996,0,98053,47.635,-121.964
20141018T000000,3,2.5,2240,41339,1.0,0,0,4,9,2240,0,1945,1992,98005,47.6483,-122.163
20140918T000000,3,1.75,1680,6108,1.0,0,0,3,8,1680,0,1989,0,98055,47.4501,-122.208
20141110T000000,3,3.5,1370,1540,2.0,0,0,3,8,1100,270,2006,0,98116,47.5638,-122.388
20140806T000000,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943
20140703T000000,4,3.25,3930,10929,2.0,0,0,3,10,3930,0,2006,0,98004,47.6259,-122.194
20150415T000000,3,2.25,1960,10139,2.0,0,0,3,8,1960,0,1984,0,98074,47.6481,-122.061
20140515T000000,3,1.0,1160,10384,1.0,0,0,4,6,1160,0,1969,0,98038,47.3634,-122.027
20150130T000000,2,1.5,690,1058,2.0,0,0,3,7,690,0,2005,0,98103,47.6951,-122.343
20150430T000000,3,2.5,3630,9475,2.0,0,0,3,11,3630,0,1999,0,98074,47.6544,-122.085
20150313T000000,5,2.5,3750,91681,2.0,1,4,3,10,3750,0,1925,0,98118,47.5379,-122.264
20140818T000000,2,1.0,1350,4494,1.0,0,0,3,7,920,430,1949,0,98126,47.5315,-122.38
20150113T000000,3,1.0,1000,19969,1.0,0,0,3,7,1000,0,1951,0,98033,47.6745,-122.197
20150420T000000,4,3.0,1890,35280,1.0,0,0,3,9,1510,380,1979,0,98052,47.7112,-122.099
20140710T000000,5,3.0,2960,15152,2.0,0,0,3,9,2960,0,2004,0,98033,47.6689,-122.179
20141017T000000,5,2.5,2870,4712,2.0,0,0,3,9,2870,0,2014,0,98006,47.5463,-122.182
20150507T000000,3,2.5,2030,4867,2.0,0,0,3,7,2030,0,2003,0,98042,47.3747,-122.128
20150508T000000,3,2.25,1610,7423,2.0,0,0,4,7,1610,0,1990,0,98042,47.3713,-122.091
20140825T000000,4,2.25,1960,12436,2.0,0,0,3,8,1960,0,1984,0,98074,47.6276,-122.037
20140723T000000,3,2.25,1830,25641,2.0,0,0,3,8,1830,0,1989,0,98059,47.4786,-122.112
20150302T000000,3,1.0,820,5200,1.0,0,0,4,6,820,0,1977,0,98042,47.363,-122.094
20140722T000000,4,2.5,3550,35689,2.0,0,0,4,9,3550,0,1991,0,98077,47.7503,-122.074
20150428T000000,3,2.25,1560,9706,1.0,0,0,4,7,1560,0,1963,0,98002,47.3191,-122.213
20141104T000000,3,2.5,2420,36862,1.0,0,0,4,8,1530,890,1957,0,98003,47.3264,-122.308
20150127T000000,3,1.5,1970,3400,1.5,0,0,4,8,1420,550,1929,0,98122,47.6163,-122.292
20150102T000000,3,2.25,1920,8412,1.0,0,2,3,8,1460,460,1977,0,98006,47.5578,-122.132
20150408T000000,3,2.75,2130,1400,2.0,0,0,3,9,1080,1050,2010,0,98118,47.5661,-122.29
20140617T000000,3,1.5,1450,7375,1.0,0,0,3,7,1010,440,1968,0,98034,47.7212,-122.179
20141020T000000,3,2.25,1610,11920,1.0,0,0,4,7,1110,500,1968,0,98032,47.3683,-122.279
20141119T000000,3,2.5,2010,6857,1.0,0,0,4,9,1450,560,1955,0,98102,47.6402,-122.314
20150123T000000,4,3.25,1900,2631,2.0,0,0,3,9,1250,650,2014,0,98144,47.5869,-122.311
20140908T000000,1,1.0,720,5196,1.0,0,0,3,7,720,0,1911,0,98103,47.6928,-122.337
20150304T000000,4,2.5,2160,8158,1.0,0,0,4,8,1660,500,1952,0,98115,47.6948,-122.328
20140818T000000,5,1.75,1770,15525,1.0,0,0,4,7,1770,0,1959,0,98059,47.5025,-122.142
20150217T000000,4,2.5,3362,8601,2.0,0,0,3,8,3362,0,2004,0,98003,47.2592,-122.304
20140604T000000,5,2.5,2730,17240,1.0,0,0,5,7,1660,1070,1958,0,98028,47.7646,-122.267
20150106T000000,3,2.0,1350,8960,1.0,0,0,4,7,1350,0,1986,0,98038,47.3614,-122.045
20140811T000000,3,2.0,1700,8160,1.0,0,0,3,7,1120,580,1961,0,98133,47.74,-122.339
20150102T000000,3,1.75,1320,10416,1.0,0,0,3,7,1320,0,1996,0,98031,47.3902,-122.208
20150317T000000,2,1.75,1930,4601,1.0,0,0,3,8,1930,0,2006,0,98053,47.7196,-122.022
20141124T000000,3,1.0,1730,7950,1.0,0,0,4,7,1180,550,1961,0,98198,47.3644,-122.312
20140721T000000,4,2.5,2154,4153,2.0,0,0,3,9,2154,0,2012,0,98058,47.4557,-122.13
20141218T000000,2,2.25,1550,1824,2.0,0,0,3,8,1550,0,2007,0,98106,47.5396,-122.368
20150407T000000,3,1.0,1400,5100,1.5,0,0,3,7,1400,0,1900,0,98103,47.6677,-122.333
20140603T000000,3,1.75,1250,6041,1.5,0,0,5,7,1250,0,1942,0,98115,47.69,-122.304
20140603T000000,3,2.0,1440,5600,1.0,0,0,4,6,720,720,1942,2007,98056,47.4947,-122.185
20150323T000000,4,2.5,3230,256132,2.0,0,0,3,9,3230,0,2006,0,98053,47.6544,-121.998
20150504T000000,3,1.5,1360,1795,2.0,0,0,3,7,1360,0,1945,0,98199,47.6471,-122.397
20150212T000000,3,1.75,1910,12321,1.0,0,0,4,7,1100,810,1952,0,98004,47.5995,-122.198
20141118T000000,4,2.5,2660,8469,2.0,0,0,3,10,2660,0,1994,0,98006,47.5529,-122.12
20141009T000000,3,2.5,1820,7500,2.0,0,0,3,8,1820,0,1985,0,98052,47.7155,-122.104
20150116T000000,3,1.75,1390,9328,1.0,0,0,4,7,1390,0,1987,0,98092,47.2766,-122.146
20150506T000000,3,2.5,1610,6732,2.0,0,0,3,7,1610,0,1994,0,98030,47.3658,-122.172
20140508T000000,4,1.75,2060,26036,1.0,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351
20140623T000000,3,2.0,1340,8505,1.0,0,0,3,6,1340,0,1931,0,98168,47.4727,-122.297
20150127T000000,3,2.0,1350,6696,1.0,0,0,5,6,680,670,1944,0,98056,47.4919,-122.187
20150303T000000,3,2.25,1490,4539,2.0,0,0,3,7,1490,0,2009,0,98028,47.7607,-122.233
20140722T000000,2,1.0,1000,4179,1.0,0,0,5,5,1000,0,1914,0,98002,47.297,-122.227
20141215T000000,4,2.5,3020,4950,1.5,0,0,4,9,2020,1000,1921,0,98112,47.6467,-122.304
20150209T000000,3,1.75,1270,7350,1.0,0,0,4,7,1270,0,1967,0,98005,47.6046,-122.168
20150507T000000,3,2.5,2400,7745,2.0,0,0,3,9,2400,0,2001,0,98033,47.6734,-122.173
20141214T000000,3,1.0,1040,7490,1.0,0,0,3,7,1040,0,1969,0,98034,47.7137,-122.213
20140710T000000,2,1.0,670,6300,1.0,0,0,5,6,670,0,1942,0,98126,47.5161,-122.374
20141121T000000,4,1.75,1520,15398,1.0,0,0,4,7,1370,150,1960,0,98027,47.5265,-122.05
20140627T000000,2,1.5,1200,1687,3.0,0,0,3,8,1200,0,2008,0,98103,47.6491,-122.334
20141024T000000,7,3.75,5100,21802,2.0,0,0,3,10,3640,1460,2001,0,98075,47.595,-122.04
20150424T000000,2,1.0,1060,5754,1.0,0,0,4,6,1060,0,1917,0,98117,47.6931,-122.372
20141216T000000,4,2.5,2242,37451,2.0,0,0,3,8,2242,0,1995,0,98028,47.7443,-122.228
20150409T000000,3,1.5,1340,25160,1.0,0,0,3,7,1340,0,1968,0,98059,47.475,-122.111
20150223T000000,3,1.75,1520,9600,1.0,0,0,4,7,1520,0,1967,0,98059,47.473,-122.149
20140522T000000,4,1.5,1740,7292,1.0,0,0,3,7,1020,720,1962,0,98168,47.4787,-122.302
20150504T000000,3,1.0,1480,10094,1.0,0,0,4,7,1480,0,1956,0,98007,47.5942,-122.136
20150422T000000,3,1.0,1160,10881,1.0,0,0,2,7,920,240,1983,0,98074,47.6339,-122.033
20141022T000000,4,2.25,2220,36085,2.0,0,0,3,9,2220,0,1989,0,98075,47.5839,-121.991
20141001T000000,4,2.5,3230,4290,2.0,0,0,3,9,3230,0,2004,0,98033,47.6874,-122.161
20140528T000000,2,2.0,1700,3171,1.0,0,0,5,5,850,850,1927,0,98002,47.3025,-122.224
20141016T000000,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,1977,0,98008,47.5845,-122.115
20140708T000000,3,1.0,1400,8100,1.5,0,0,3,6,1400,0,1944,0,98125,47.7124,-122.289
20140725T000000,4,2.5,2610,5866,2.0,0,0,3,8,2610,0,2005,0,98038,47.3441,-122.04
20140520T000000,3,1.5,1490,9630,1.0,0,0,4,8,1490,0,1959,0,98028,47.7623,-122.256
20150512T000000,3,1.75,1720,3825,1.5,0,0,3,7,1720,0,1925,0,98105,47.666,-122.327
20150113T000000,2,1.75,1270,1685,2.0,0,0,3,8,1270,0,2012,0,98108,47.5646,-122.295
20140623T000000,3,1.75,1390,18200,1.0,0,0,4,7,1390,0,1962,0,98023,47.3208,-122.337
20140623T000000,3,2.25,1630,3817,2.0,0,0,3,7,1630,0,2005,0,98029,47.5485,-121.999
20140707T000000,3,1.0,1230,6000,1.0,0,0,4,7,1230,0,1967,0,98002,47.3256,-122.209
20140911T000000,3,4.25,5510,35000,2.0,0,4,3,13,4910,600,1997,0,98177,47.7296,-122.37
20140708T000000,2,1.0,630,4200,1.0,0,0,3,6,630,0,1930,0,98106,47.5329,-122.348
20141022T000000,3,1.75,1470,6682,1.0,0,0,3,7,1470,0,1987,0,98034,47.7315,-122.226
20141001T000000,3,1.75,1660,4800,2.0,0,0,3,7,1660,0,1906,2014,98112,47.6296,-122.308
20150316T000000,3,1.0,1220,71191,1.0,0,0,3,6,1220,0,1952,0,98023,47.3261,-122.353
20150325T000000,3,2.5,2170,5000,2.0,0,0,3,9,2170,0,2003,0,98029,47.5453,-121.996
20150316T000000,2,1.0,960,2700,1.0,0,0,3,6,780,180,1904,0,98144,47.6013,-122.299
20150220T000000,4,1.0,1540,8400,1.0,0,0,3,7,770,770,1971,0,98058,47.4278,-122.152
20150128T000000,4,2.75,2830,10240,2.0,0,0,4,9,2830,0,1998,0,98075,47.5903,-121.986
20150402T000000,4,2.0,2360,7080,1.0,0,0,5,6,1180,1180,1925,0,98126,47.5261,-122.376
20150410T000000,4,3.25,2610,2552,2.0,0,0,3,10,2160,450,2008,0,98027,47.5322,-122.076
20150126T000000,4,2.5,2490,9346,2.0,0,2,3,9,2490,0,1996,0,98042,47.3831,-122.147
20150428T000000,3,2.5,1940,4000,2.0,0,0,4,9,1940,0,2000,0,98199,47.659,-122.398
20150408T000000,2,1.0,930,2600,1.0,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161
20150115T000000,1,1.75,1020,4512,1.0,0,0,3,7,770,250,1937,0,98115,47.6724,-122.266
20140923T000000,4,1.75,1650,7276,1.0,0,0,3,7,1010,640,1977,0,98011,47.7721,-122.206
20141217T000000,4,2.5,2730,4847,2.0,0,0,3,9,2730,0,2008,0,98126,47.549,-122.374
20150421T000000,4,2.25,2240,9684,2.0,0,0,4,9,2240,0,1970,0,98040,47.5489,-122.225
20150424T000000,4,2.5,3430,35120,2.0,0,0,3,10,3430,0,1984,0,98033,47.6484,-122.182
20150326T000000,3,1.0,2160,11484,1.5,0,0,4,7,2160,0,1968,0,98034,47.7277,-122.185
20140716T000000,2,1.0,930,7740,1.0,0,0,1,5,930,0,1932,0,98148,47.4611,-122.324
20140603T000000,3,1.5,1180,9048,1.0,0,0,3,7,1180,0,1960,0,98148,47.4327,-122.328
20140702T000000,3,3.5,4660,5500,2.0,0,4,5,10,3040,1620,1909,0,98102,47.6465,-122.319
20140814T000000,5,4.0,2710,2800,3.0,0,0,3,10,2380,330,1974,2008,98119,47.6346,-122.364
20140825T000000,3,1.5,1190,8726,1.0,0,0,3,7,1190,0,1956,0,98146,47.4887,-122.343
20141226T000000,5,3.5,4890,12039,2.0,0,0,3,9,3590,1300,2014,0,98011,47.7338,-122.208
20140818T000000,3,2.25,1740,9682,1.0,0,0,5,8,1740,0,1969,0,98056,47.5138,-122.173
20150126T000000,3,2.5,2710,13120,1.0,0,0,3,10,2710,0,1959,0,98105,47.6718,-122.256
20150409T000000,4,2.0,1700,12048,2.0,0,0,3,7,1700,0,1990,0,98030,47.3748,-122.186
20140819T000000,3,2.25,1890,7498,1.0,0,0,3,7,1190,700,1987,0,98125,47.73,-122.297
20141222T000000,3,2.5,1870,1436,2.0,0,0,3,7,1870,0,2004,0,98059,47.4899,-122.166
20141014T000000,4,2.5,2520,5000,2.0,0,0,3,9,2520,0,2004,0,98029,47.5524,-121.992
20141231T000000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384
20150119T000000,5,1.75,2190,8250,1.0,0,2,3,7,1190,1000,1963,0,98055,47.4887,-122.223
20150506T000000,4,2.0,1720,5413,2.0,0,0,3,7,1470,250,1938,1980,98115,47.6929,-122.321
20140728T000000,3,3.0,2260,1834,2.0,0,0,3,8,1660,600,2002,0,98122,47.6111,-122.308
20150113T000000,3,1.75,1540,6930,1.0,0,0,3,7,1250,290,1944,0,98115,47.6782,-122.278
20140804T000000,3,2.25,1650,946,3.0,0,0,3,8,1650,0,2014,0,98103,47.6536,-122.354
20150316T000000,3,1.75,1440,8957,1.0,0,0,4,7,1440,0,1957,0,98008,47.6008,-122.118
20150320T000000,4,2.25,2420,36680,2.0,0,0,4,8,2420,0,1977,0,98027,47.4663,-122.006
20140708T000000,4,2.25,2890,18226,3.0,1,4,3,10,2890,0,1984,0,98056,47.5169,-122.209
20140701T000000,3,1.75,2050,9580,1.0,0,0,3,8,1400,650,1984,0,98074,47.6212,-122.038
20140814T000000,3,2.5,2770,9350,2.0,0,3,3,8,2770,0,1957,2000,98056,47.5253,-122.201
20140808T000000,2,1.0,720,6321,1.0,0,0,3,6,720,0,1940,0,98118,47.551,-122.289
20150303T000000,4,2.5,2800,6874,2.0,0,0,3,9,2170,630,1990,0,98112,47.6215,-122.29
20140722T000000,2,2.0,1380,5840,1.0,0,0,3,7,1380,0,1988,0,98011,47.7732,-122.172
20141202T000000,6,2.0,3080,5500,2.0,0,0,1,7,3080,0,1900,0,98122,47.6031,-122.296
20140516T000000,3,1.0,1000,18513,1.0,0,0,3,6,1000,0,1940,0,98146,47.5118,-122.348
20150430T000000,3,2.0,1930,10929,1.0,0,0,3,8,1260,670,1964,0,98155,47.7657,-122.272
20150507T000000,3,1.0,1540,9028,1.0,0,0,4,6,1540,0,1968,0,98033,47.6698,-122.177
20150303T000000,3,2.0,1330,35060,1.0,0,0,3,7,1330,0,1989,0,98092,47.3128,-122.13
20150223T000000,3,2.25,1480,1384,3.0,0,0,3,8,1480,0,2008,0,98103,47.691,-122.342
20141009T000000,4,2.25,2240,8300,2.0,0,0,3,8,2240,0,1978,0,98011,47.7746,-122.197
20150312T000000,4,2.5,2100,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23
20140604T000000,1,1.0,790,13062,1.0,0,0,3,6,790,0,1942,0,98168,47.4919,-122.311
20140813T000000,3,2.75,3040,24192,2.0,0,0,4,10,3040,0,1987,0,98034,47.7108,-122.225
20150420T000000,4,2.5,4500,35200,1.0,0,0,3,13,4500,0,1988,0,98006,47.5477,-122.126
20141223T000000,3,1.75,2092,250905,1.0,0,0,3,7,2092,0,1981,0,98022,47.2664,-122.027
20140603T000000,4,2.5,2870,12648,2.0,0,0,4,9,2870,0,1986,0,98029,47.5632,-122.017
20141107T000000,4,2.5,2790,10289,2.0,0,0,3,9,2790,0,1987,0,98006,47.5483,-122.158
20150407T000000,3,1.75,1350,2325,3.0,0,0,3,7,1350,0,1999,0,98103,47.6965,-122.35
20141107T000000,5,2.75,2720,193406,1.0,0,4,4,7,1700,1020,1968,0,98092,47.2838,-122.121
20140814T000000,4,3.5,3210,5000,3.0,0,0,3,9,3210,0,2014,0,98136,47.5203,-122.393
20150424T000000,2,1.0,1680,9250,1.0,0,0,3,7,860,820,1969,0,98072,47.7618,-122.162
20140603T000000,4,2.5,2790,45902,2.0,0,0,3,9,2790,0,1987,0,98077,47.7674,-122.086
20140627T000000,3,1.0,2710,19000,2.0,0,3,4,7,2710,0,1950,0,98166,47.4462,-122.359
20150331T000000,4,2.5,2180,9861,2.0,0,2,3,8,2180,0,1997,0,98045,47.4817,-121.802
20141007T000000,4,2.5,3202,4964,2.0,0,0,3,9,3202,0,2014,0,98030,47.3412,-122.179
20140710T000000,4,1.0,1170,8147,1.5,0,0,3,6,1170,0,1959,0,98125,47.7281,-122.289
20150506T000000,4,1.75,2350,7574,1.0,0,0,3,8,1720,630,1979,0,98027,47.5634,-122.087
20141021T000000,3,1.5,1410,9000,1.0,0,0,3,7,1410,0,1953,0,98133,47.7635,-122.35
20150121T000000,4,2.5,2547,4800,2.0,0,0,3,9,2547,0,2014,0,98092,47.2592,-122.194
20150115T000000,5,3.0,2200,103237,1.0,0,0,3,7,1160,1040,1971,0,98072,47.7726,-122.111
20141003T000000,4,2.5,3130,5795,2.0,0,0,3,9,3130,0,2008,0,98059,47.4997,-122.151
20150422T000000,4,2.5,2740,5000,2.0,0,0,3,9,2740,0,2012,0,98107,47.674,-122.371
20141106T000000,2,1.0,950,9000,1.0,0,0,3,6,950,0,1924,0,98106,47.5219,-122.361
20140507T000000,3,1.0,1400,7410,1.0,0,0,3,6,1400,0,1944,0,98166,47.4798,-122.343
20140602T000000,3,1.5,1840,9990,2.0,0,0,5,8,1840,0,1961,0,98177,47.7145,-122.369
20141014T000000,4,2.5,2350,3904,2.5,0,0,3,7,2350,0,1999,0,98106,47.5305,-122.351
20150414T000000,3,2.25,2300,8067,1.0,0,0,4,8,1300,1000,1979,0,98034,47.7091,-122.198
20141105T000000,3,2.25,1560,8280,2.0,0,0,4,7,1560,0,1979,0,98001,47.3393,-122.259
20140917T000000,3,1.75,1240,38095,1.0,0,0,3,7,1240,0,1978,0,98053,47.6522,-121.97
20150511T000000,3,1.75,1950,8325,1.0,0,0,4,7,1950,0,1962,0,98011,47.7685,-122.2
20150122T000000,2,1.0,920,5120,1.0,0,0,5,7,920,0,1952,0,98136,47.5569,-122.394
20150413T000000,3,2.0,1420,1716,2.0,0,0,3,7,1050,370,2003,0,98155,47.7364,-122.295
20140929T000000,4,2.25,2460,14600,1.0,0,0,4,8,1720,740,1977,0,98042,47.3762,-122.16
20140729T000000,3,2.0,1810,10530,1.0,0,2,3,8,1810,0,1991,0,98022,47.1913,-122.012
20141022T000000,4,3.25,3070,10375,2.0,0,0,3,10,2180,890,1962,2005,98004,47.5862,-122.198
20140828T000000,3,1.75,1410,4080,1.5,0,0,4,7,1410,0,1927,0,98105,47.6695,-122.32
20141016T000000,4,3.5,2380,5809,2.0,0,0,4,7,1750,630,1995,0,98106,47.5536,-122.359
20150113T000000,4,1.75,2400,10050,1.0,0,0,5,8,2400,0,1957,0,98008,47.6339,-122.124
20150420T000000,3,1.0,1260,7265,1.0,0,0,4,7,1260,0,1954,0,98002,47.2979,-122.224
20140813T000000,4,2.5,2560,5672,2.0,0,1,3,8,2560,0,2005,0,98056,47.5222,-122.201
20150113T000000,2,1.5,1510,1962,2.0,0,0,4,8,1510,0,1985,0,98007,47.6214,-122.153
20150205T000000,3,1.0,1020,4960,1.5,0,0,3,6,920,100,1926,0,98118,47.5328,-122.275
20150302T000000,4,2.75,2810,5497,2.0,0,0,3,9,2810,0,2011,0,98052,47.7081,-122.116
20141110T000000,3,1.75,1120,9730,1.0,0,0,3,7,1120,0,1944,1989,98011,47.7372,-122.221
20140929T000000,4,2.25,2470,8686,1.0,0,0,4,7,1270,1200,1974,0,98058,47.4371,-122.166
20140617T000000,4,4.0,4420,16526,2.0,0,0,3,11,4420,0,2013,0,98075,47.5914,-122.027
20140916T000000,4,1.5,1330,5750,1.5,0,2,3,7,1330,0,1915,0,98116,47.5681,-122.384
20141028T000000,4,2.5,2880,12349,2.0,0,0,3,10,2880,0,1996,0,98075,47.5879,-121.973
20140905T000000,3,1.5,1540,5040,2.0,0,0,3,8,1540,0,1907,0,98122,47.6138,-122.299
20150330T000000,3,1.75,1430,7700,1.0,0,0,4,7,980,450,1981,0,98031,47.3993,-122.183
20150107T000000,4,2.75,2240,8162,2.0,0,0,5,7,1380,860,1946,0,98133,47.7427,-122.34
20140515T000000,3,1.0,980,3090,1.5,0,0,3,6,980,0,1903,0,98118,47.5525,-122.277
20140915T000000,5,3.0,3880,8432,2.0,0,0,3,7,3880,0,2004,0,98056,47.4806,-122.176
20150428T000000,4,2.75,1300,9638,1.0,0,0,2,7,1300,0,1983,0,98042,47.3683,-122.109
20150319T000000,3,1.75,1100,7373,1.0,0,0,4,7,1100,0,1968,0,98092,47.3124,-122.183
20150427T000000,4,1.0,1480,8321,1.0,0,0,3,7,1080,400,1953,0,98155,47.7629,-122.318
20140502T000000,3,3.25,1320,1327,2.0,0,0,3,8,1040,280,2008,0,98199,47.6506,-122.383
20140710T000000,4,2.5,3340,8930,2.0,0,2,3,10,3340,0,1999,0,98065,47.535,-121.867
20140923T000000,3,2.5,1910,5600,2.0,0,0,3,8,1910,0,1989,0,98029,47.5752,-122.009
20140707T000000,3,2.5,3870,46609,2.0,0,3,3,9,3870,0,1997,0,98008,47.5966,-122.112
20140514T000000,3,2.5,1820,4883,2.0,0,0,3,9,1820,0,2005,0,98028,47.7355,-122.224
20150318T000000,6,4.5,4520,40164,2.0,0,0,3,9,3580,940,1953,2008,98031,47.407,-122.216
20140512T000000,3,1.0,1080,8100,1.0,0,0,4,7,1080,0,1955,0,98155,47.777,-122.307
20140908T000000,3,1.75,1480,7830,1.0,0,0,3,7,1480,0,1980,0,98022,47.1967,-121.998
20141007T000000,2,2.25,1240,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073
20140513T000000,3,2.25,2350,10450,1.0,0,0,3,8,1390,960,1977,0,98028,47.7433,-122.259
20141203T000000,3,2.5,1810,7200,1.0,0,0,5,7,1310,500,1960,0,98033,47.6885,-122.211
20141112T000000,4,2.5,3390,7870,2.0,0,0,3,8,3390,0,2014,0,98188,47.4536,-122.274
20150331T000000,3,1.0,1020,7615,1.0,0,0,3,7,1020,0,1981,0,98058,47.4292,-122.152
20140804T000000,3,2.5,1940,5660,2.0,0,0,3,8,1940,0,2001,0,98072,47.7511,-122.17
20150413T000000,2,1.0,1170,6000,1.0,0,0,3,6,1170,0,1948,0,98168,47.5033,-122.331
20150127T000000,4,2.5,2320,5493,2.0,0,0,3,8,2320,0,2004,0,98028,47.7727,-122.229
20140529T000000,3,1.5,1460,5040,1.0,0,0,3,7,1100,360,1971,0,98133,47.7112,-122.357
20140728T000000,4,2.75,3010,10830,2.0,0,3,4,9,3010,0,1980,0,98034,47.7005,-122.232
20140703T000000,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,1968,0,98040,47.5639,-122.217
20141010T000000,3,1.75,1370,8280,1.0,0,0,4,7,1370,0,1980,0,98031,47.4096,-122.172
20140807T000000,3,2.5,1690,4898,2.0,0,0,3,7,1690,0,2003,0,98053,47.6834,-122.038
